object	telescope	filter	aperture	utc	mjd	mag	mag_err	zp_mag	zp_mag_err	phase_angle	heliocentric_au	true_anomaly
C/2019 U5 	ATLAS-HKO	O_ATLAS	10	2021-06-19 09:15:37	59384.385850461105	16.87216018628917	0.03349417448043823	25.8238031367992	0.005	8.587046824645508	6.56420212561971	275.9731590993727
C/2019 U5 	ATLAS-HKO	O_ATLAS	16	2021-06-19 09:15:37	59384.385850461105	16.504081000803332	0.03513385355472565	25.8238031367992	0.005	8.587046824645508	6.56420212561971	275.9731590993727
C/2019 U5 	ATLAS-HKO	O_ATLAS	16	2021-06-19 09:34:26	59384.398916661106	16.61900014448009	0.033085647970438004	25.8298031367992	0.005	8.58722594475073	6.564119032910191	275.97396486176365
C/2019 U5 	ATLAS-HKO	O_ATLAS	10	2021-06-19 09:34:26	59384.398916661106	16.900158591745715	0.030565928667783737	25.8298031367992	0.005	8.58722594475073	6.564119032910191	275.97396486176365
C/2019 U5 	ATLAS-HKO	O_ATLAS	10	2021-06-19 09:44:49	59384.40613056111	16.830514182566027	0.024713851511478424	25.8238031367992	0.005	8.587324813408964	6.564073181096288	275.9744095028778
C/2019 U5 	ATLAS-HKO	O_ATLAS	16	2021-06-19 09:44:49	59384.40613056111	16.48860286664806	0.025762779638171196	25.8238031367992	0.005	8.587324813408964	6.564073181096288	275.9744095028778
C/2019 U5 	ATLAS-HKO	O_ATLAS	10	2021-06-19 09:52:16	59384.411297361105	16.881110534189563	0.02604062855243683	25.8188031367992	0.005	8.587395773395436	6.564040282626147	275.974728534925
C/2019 U5 	ATLAS-HKO	O_ATLAS	16	2021-06-19 09:52:16	59384.411297361105	16.49786888074718	0.03709879517555237	25.8188031367992	0.005	8.587395773395436	6.564040282626147	275.974728534925
C/2019 U5 	ATLAS-HKO	O_ATLAS	16	2021-06-19 09:58:51	59384.415869861106	16.51887430524669	0.02896902896463871	25.8028031367992	0.005	8.587458473416625	6.5640112112864015	275.97501045629144
C/2019 U5 	ATLAS-HKO	O_ATLAS	10	2021-06-19 09:58:51	59384.415869861106	16.9006701884254	0.029519958421587944	25.8028031367992	0.005	8.587458473416625	6.5640112112864015	275.97501045629144
C/2019 U5 	ATLAS-HKO	O_ATLAS	10	2021-06-23 10:11:10	59388.424422661104	16.858603621958117	0.030185654759407043	25.8358031367992	0.005	8.645161773443535	6.5385270392970725	276.2231662988633
C/2019 U5 	ATLAS-HKO	O_ATLAS	16	2021-06-23 10:11:10	59388.424422661104	16.545817519663196	0.040241628885269165	25.8358031367992	0.005	8.645161773443535	6.5385270392970725	276.2231662988633
C/2019 U5 	ATLAS-HKO	O_ATLAS	10	2021-06-23 10:15:46	59388.427625661105	16.818271636484486	0.03539812192320824	25.8338031367992	0.005	8.645209847811673	6.53850673547543	276.22336482785204
C/2019 U5 	ATLAS-HKO	O_ATLAS	16	2021-06-23 10:15:46	59388.427625661105	16.44635677289806	0.03692243993282318	25.8338031367992	0.005	8.645209847811673	6.53850673547543	276.22336482785204
C/2019 U5 	ATLAS-HKO	O_ATLAS	10	2021-06-23 10:24:25	59388.43362986111	16.747637748239857	0.02981879562139511	25.8338031367992	0.005	8.645300243662344	6.538468555484119	276.22373815200535
C/2019 U5 	ATLAS-HKO	O_ATLAS	16	2021-06-23 10:24:25	59388.43362986111	16.41228103589855	0.039538607001304626	25.8338031367992	0.005	8.645300243662344	6.538468555484119	276.22373815200535
C/2019 U5 	ATLAS-HKO	O_ATLAS	16	2021-06-23 10:39:35	59388.44416296111	16.413031974314073	0.1365448236465454	25.1748031367992	0.005	8.645458794876493	6.5384016118242885	276.22439273862943
C/2019 U5 	ATLAS-HKO	O_ATLAS	10	2021-06-23 10:39:35	59388.44416296111	16.704386153696397	0.10911926627159119	25.1748031367992	0.005	8.645458794876493	6.5384016118242885	276.22439273862943
C/2019 U5 	ATLAS-HKO	O_ATLAS	10	2021-06-27 09:54:19	59392.412725961105	16.815388335703236	0.040242549031972885	25.7238031367992	0.005	8.707516892067542	6.513183510321883	276.4719969243707
C/2019 U5 	ATLAS-HKO	O_ATLAS	16	2021-06-27 09:54:19	59392.412725961105	16.508759154795033	0.04646319895982742	25.7238031367992	0.005	8.707516892067542	6.513183510321883	276.4719969243707
C/2019 U5 	ATLAS-HKO	O_ATLAS	10	2021-06-27 10:02:14	59392.41822466111	16.76533598279796	0.03662668541073799	25.7278031367992	0.005	8.707605843976808	6.5131485838768315	276.47234126417635
C/2019 U5 	ATLAS-HKO	O_ATLAS	16	2021-06-27 10:02:14	59392.41822466111	16.496602004526476	0.038023147732019424	25.7278031367992	0.005	8.707605843976808	6.5131485838768315	276.47234126417635
C/2019 U5 	ATLAS-HKO	O_ATLAS	16	2021-06-27 10:51:42	59392.45257376111	16.479255340097765	0.037515562027692795	25.7568031367992	0.005	8.708161786982107	6.512930349280125	276.47449292802196
C/2019 U5 	ATLAS-HKO	O_ATLAS	10	2021-06-27 10:51:42	59392.45257376111	16.829193732736925	0.032395653426647186	25.7568031367992	0.005	8.708161786982107	6.512930349280125	276.47449292802196
C/2019 U5 	ATLAS-HKO	O_ATLAS	10	2021-06-27 10:55:43	59392.45536686111	16.790473548410755	0.03166184201836586	25.7758031367992	0.005	8.708206946249957	6.512912628790899	276.4746676482887
C/2019 U5 	ATLAS-HKO	O_ATLAS	16	2021-06-27 10:55:43	59392.45536686111	16.474350539682728	0.03881541267037392	25.7758031367992	0.005	8.708206946249957	6.512912628790899	276.4746676482887
